[4037]    [0.004558981111374057]
[2625]    [0.0038478976725783384]
[6634]    [0.003723450379818571]
[15]    [0.003156950745872907]
[2398]    [0.0026723054306863406]
[2328]    [0.0026185555446699284]
[2470]    [0.0023856315444724953]
[5412]    [0.0023831291004670296]
[7632]    [0.0022821648514260657]
[3089]    [0.002262828469166777]
[3352]    [0.002230973311132881]
[737]    [0.0021843302106761306]
[4191]    [0.002149953248399702]
[2237]    [0.0021446345397358344]
[3456]    [0.0021411143176659126]
[5254]    [0.002119022575220533]
[6832]    [0.0020849801224392906]
[7553]    [0.002076900135656068]
[2066]    [0.002025216807382564]
[1297]    [0.0019840163950317173]
[7092]    [0.0018975558837993497]
[4310]    [0.0018753565265246855]
[4712]    [0.0018178764255397971]
[6774]    [0.0017869675607415847]
[762]    [0.001774808941060558]
[6946]    [0.0017728350290742536]
[1186]    [0.0017574016360508502]
[993]    [0.0017095908425284365]
[2958]    [0.0016996204659954007]
[2657]    [0.0016422840526713715]
[4335]    [0.001641052247338305]
[665]    [0.0016370120493825555]
[4735]    [0.0016319311028512628]
[4828]    [0.001631463496936911]
[6006]    [0.0016231819914594512]
[4875]    [0.0016111353761352012]
[8042]    [0.0016024223102148389]
[4256]    [0.0015605925448979642]
[3537]    [0.0015554830833505453]
[7620]    [0.0015446964085097667]
[3238]    [0.0015215527350448232]
[4261]    [0.001487928658180605]
[271]    [0.0014836224823918866]
[5123]    [0.0014638267105271825]
[3568]    [0.0014631918380391743]
[5484]    [0.0014551298799442794]
[3498]    [0.001447406765542716]
[1549]    [0.0014470574919374123]
[825]    [0.0014456372804761682]
[3084]    [0.0014384345388441546]
[2485]    [0.0014323472751638748]
[5079]    [0.0014154134419417385]
[6784]    [0.0014137018707542316]
[2871]    [0.0014001548091759316]
[2654]    [0.0013887644571507938]
[2535]    [0.0013875999490607588]
[5404]    [0.0013818710136143692]
[5459]    [0.0013702634908344332]
[8163]    [0.0013540403959630726]
[2565]    [0.0013262203027960104]
[4400]    [0.00131629957648596]
[6334]    [0.0013142830055074615]
[5543]    [0.0013113730245523402]
[3562]    [0.0013084736485963644]
[4600]    [0.00130732786434601]
[2859]    [0.0012928394979679295]
[3334]    [0.001286599896197414]
[2746]    [0.0012716636852383128]
[2651]    [0.0012664142017791212]
[7809]    [0.0012572860467457015]
[5022]    [0.0012509959423722874]
[3897]    [0.0012431886731766126]
[5226]    [0.0012268447040378134]
[3321]    [0.0012238260022211641]
[3034]    [0.0012020775245232184]
[2576]    [0.0011860853586328848]
[1633]    [0.001180437726601621]
[1211]    [0.0011739373810455737]
[1726]    [0.0011685643592465888]
[4531]    [0.0011652959570816399]
[4040]    [0.0011649737583399595]
[7961]    [0.0011600116824903501]
[5563]    [0.0011465599832762266]
[4981]    [0.0011450145908128526]
[1842]    [0.001144628431843802]
[86]    [0.0011387781573334423]
[3005]    [0.001136576117930369]
[1754]    [0.001133770472620038]
[5605]    [0.0011269819135964604]
[2594]    [0.0011187294308974563]
[7890]    [0.0011186798168120065]
[3443]    [0.0011179629645000676]
[3962]    [0.001116963171634208]
[4666]    [0.0011111748027085556]
[28]    [0.001108835935734182]
[6330]    [0.0011077584121411109]
[7214]    [0.0011068687004741709]
[3260]    [0.0011030611318852191]
[6124]    [0.0010905768530305802]
[3459]    [0.0010823534511313795]
