[4037]  [0.004556412278710504]
[2625]  [0.00384595801934068]
[6634]  [0.0037219348234158885]
[15]  [0.00315532342605842]
[2398]  [0.0026710823701364757]
[2328]  [0.0026171312535371557]
[2470]  [0.0023842205688539907]
[5412]  [0.0023820335066259027]
[7632]  [0.0022811214618481553]
[3089]  [0.0022616729833260453]
[3352]  [0.0022298015469221126]
[737]  [0.00218324258958112]
[4191]  [0.0021493827108931707]
[2237]  [0.002143413126065673]
[3456]  [0.0021400983232251892]
[5254]  [0.0021179307592779978]
[6832]  [0.0020839077374494508]
[7553]  [0.0020786639036499736]
[2066]  [0.002024260606407242]
[1297]  [0.0019830055241318338]
[7092]  [0.0018967378360034719]
[4310]  [0.001874434435266842]
[4712]  [0.001817040504943371]
[6774]  [0.0017859355361002304]
[762]  [0.0017738808796386838]
[6946]  [0.0017721108786300363]
[1186]  [0.0017563704347459811]
[993]  [0.001708718567326921]
[2958]  [0.0016987398862014144]
[2657]  [0.001641390590991922]
[4335]  [0.0016402250534403096]
[665]  [0.0016360033126711104]
[4735]  [0.0016311181582802541]
[4828]  [0.0016306824557172864]
[6006]  [0.0016223995238260468]
[4875]  [0.00161035685088438]
[8042]  [0.001601771250939811]
[4256]  [0.001560328283224298]
[3537]  [0.0015552255840986361]
[7620]  [0.0015439605368660803]
[3238]  [0.001520817796046966]
[4261]  [0.0014870425342073594]
[271]  [0.0014827442673539387]
[5123]  [0.0014631406745203252]
[3568]  [0.001462429023708625]
[5484]  [0.0014543864321140323]
[3498]  [0.0014466643320364505]
[1549]  [0.001446393635310606]
[825]  [0.001444897783048788]
[3084]  [0.0014377761063076582]
[2485]  [0.0014316257355263071]
[5079]  [0.0014147176274368434]
[6784]  [0.0014129581082674317]
[2871]  [0.0013994201655082882]
[2654]  [0.0013880242951638455]
[2535]  [0.0013868575504858481]
[5404]  [0.0013811969321735238]
[5459]  [0.0013695512664173265]
[8163]  [0.0013535653357492597]
[2565]  [0.0013255436991125187]
[4400]  [0.001315648369993922]
[6334]  [0.0013136289718221241]
[5543]  [0.0013106598864632657]
[3562]  [0.001307829500282207]
[4600]  [0.0013066166719256072]
[2859]  [0.0012922121614094874]
[3334]  [0.00128600580485988]
[2746]  [0.0012710512867791456]
[2651]  [0.0012658054398444675]
[7809]  [0.001256765363518576]
[5022]  [0.0012504363724494005]
[3897]  [0.0012425846007977194]
[5226]  [0.0012262036521953224]
[3321]  [0.0012231683878926888]
[3034]  [0.0012014674247436137]
[2576]  [0.0011855390422580055]
[1633]  [0.0011798072279100061]
[1211]  [0.001173322428089204]
[1726]  [0.0011682591107481997]
[4531]  [0.0011647582347099695]
[4040]  [0.0011643907449735691]
[7961]  [0.0011594426545921432]
[5563]  [0.001146088768068943]
[4981]  [0.001144450035083993]
[1842]  [0.0011439981154398385]
[86]  [0.0011381164747468677]
[3005]  [0.0011364116501122487]
[1754]  [0.0011332352125862743]
[5605]  [0.0011266591751600713]
[2594]  [0.001118224639783671]
[7890]  [0.0011181094579855743]
[3443]  [0.0011173535549913879]
[3962]  [0.0011164258308099214]
[4666]  [0.001110588800828954]
[28]  [0.001108161739408019]
[6330]  [0.0011072099575089498]
[7214]  [0.0011063090994247343]
[3260]  [0.0011029693769109218]
[6124]  [0.0010900140064962764]
[3459]  [0.0010818140982351335]
